subject,trialtype,duration,repduration,movdist,force,stoplatency,error,abserror
1,audiomotor,3658,3326,0.7056,1.5303,154,-332,332
1,audiomotor,3602,3256,0.64956,1.7239,99,-346,346
1,audiomotor,4100,3803,0.78887,2.2688,96,-297,297
1,audiomotor,4106,3956,0.64077,2.3985,103,-150,150
1,audiomotor,1272,1922,0.1764,0.5485,268,650,650
1,audiomotor,3230,3077,0.61039,1.5279,226,-153,153
1,audiomotor,1207,1378,0.16248,0.5366,202,171,171
1,audiomotor,1573,2094,0.18923,0.26466,68,521,521
1,audiomotor,1582,1544,0.14744,0.43273,78,-38,38
1,audiomotor,2144,2502,0.40096,1.013,140,358,358
1,audiomotor,2058,2740,0.34864,0.68958,54,682,682
1,audiomotor,2661,3270,0.45495,0.98829,157,609,609
1,motor,3208,3551,0.56377,1.5092,204,343,343
1,motor,3576,3456,0.50546,1.5584,73,-120,120
1,motor,1281,1530,0.17263,0.49538,277,249,249
1,motor,1594,1687,0.2764,0.79873,89,93,93
1,motor,2148,2112,0.33874,1.1418,144,-36,36
1,motor,2666,2223,0.4923,1.1169,161,-443,443
1,motor,1649,1552,0.29434,0.77375,146,-97,97
1,motor,2293,2072,0.25747,0.82411,288,-221,221
1,motor,3664,3097,0.5343,1.2655,160,-567,567
1,motor,4090,3023,0.91724,4.408,86,-1067,1067
1,motor,2660,2860,0.3815,1.0747,157,200,200
1,motor,3157,3269,0.38287,0.93332,152,112,112
1,motor,4058,3556,1.0743,8.3376,54,-502,502
1,motor,1092,1674,0.12533,0.35455,88,582,582
1,auditory,4000,2795,0.0015624,1.7545,0,-1205,1205
1,auditory,1000,1839,0.00049918,1.8027,0,839,839
1,auditory,2000,2566,0.0010199,3.0854,0,566,566
1,auditory,2500,2972,0.001339,5.3916,0,472,472
1,auditory,3500,3150,0.002367,8.583,0,-350,350
1,auditory,4000,4003,0.0023228,3.6416,0,3,3
1,auditory,3000,3236,0.0016364,2.8216,0,236,236
1,auditory,3500,3668,0.0013639,6.6614,0,168,168
1,auditory,1500,1843,0.00066162,0.91157,0,343,343
1,auditory,2000,2866,0.00091368,4.096,0,866,866
1,auditory,1000,2022,0.0004063,1.3624,0,1022,1022
1,auditory,1500,2394,0.00095171,3.2935,0,894,894
1,auditory,2500,2823,0.0020998,1.4657,0,323,323
1,auditory,3000,3060,0.0019455,1.1065,0,60,60
1,audiomotor,3212,3474,0.48403,1.111,208,262,262
1,audiomotor,3684,3005,0.72898,1.4055,180,-679,679
1,audiomotor,1123,1323,0.13128,0.47032,120,200,200
